"Time","GameTime","Period","Points","Line"
"09:50:25",NA,"Q1","19","208.5"
"10:36:49",NA,"Q2","96","209.5"
"11:28:20",NA,"Q4","173","210.5"
"11:36:28","5:37 4th","Q4","177","NA"
