"Time","GameTime","Period","Points","Line"
"08:42:23",NA,NA,NA,NA
"09:50:25",NA,"Q2","58","208.5"
"10:36:49",NA,"Q3","111","202.5"
"11:28:20",NA,"Q4","205",NA
"11:36:28","1:22 4th","Q4","214","NA"
