"Entry","Time"
"Apply stake to all singles","13:50:04"
"$","13:50:04"
"-286 9-268","13:50:04"
"New Zealand v Australia","13:50:04"
"Markets (6)","13:50:04"
"New Zealand 1.90","13:50:04"
"New Zealand","13:50:04"
"1.90","13:50:04"
"Australia 1.90","13:50:04"
"Australia","13:50:04"
"1.90","13:50:04"
"Betting temporarily suspended - Markets are being updated","13:50:04"
"Upcoming17:05","13:50:04"
"M Minella v J Cepelova","13:50:04"
"Markets (30)","13:50:04"
"M Minella 2.49","13:50:04"
"M Minella","13:50:04"
"2.49","13:50:04"
"J Cepelova 1.49","13:50:04"
"J Cepelova","13:50:04"
