"Entry","Time"
"Apply stake to all singles","13:52:02"
"$","13:52:02"
"-286 9-280","13:52:02"
"New Zealand v Australia","13:52:02"
"Markets (6)","13:52:02"
"New Zealand 4.10","13:52:02"
"New Zealand","13:52:02"
"4.10","13:52:02"
"Australia 1.24","13:52:02"
"Australia","13:52:02"
"1.24","13:52:02"
"Betting temporarily suspended - Markets are being updated","13:52:02"
"Upcoming17:05","13:52:02"
"M Minella v J Cepelova","13:52:02"
"Markets (30)","13:52:02"
"M Minella 2.49","13:52:02"
"M Minella","13:52:02"
"2.49","13:52:02"
"J Cepelova 1.49","13:52:02"
"J Cepelova","13:52:02"
