"Entry","Time"
"Apply stake to all singles","13:52:52"
"$","13:52:52"
"-286 9-280","13:52:52"
"New Zealand v Australia","13:52:52"
"Markets (6)","13:52:52"
"Betting temporarily suspended - Markets are being updated","13:52:52"
"Upcoming17:05","13:52:52"
"M Minella v J Cepelova","13:52:52"
"Markets (30)","13:52:52"
"M Minella 2.49","13:52:52"
"M Minella","13:52:52"
"2.49","13:52:52"
"J Cepelova 1.49","13:52:52"
"J Cepelova","13:52:52"
"1.49","13:52:52"
"Betting temporarily suspended - Markets are being updated","13:52:52"
"Upcoming17:05","13:52:52"
"Y Lee v S Rogers","13:52:52"
"Markets (29)","13:52:52"
"Y Lee 5.90","13:52:52"
