"Entry","Time"
"Apply stake to all singles","13:50:17"
"$","13:50:17"
"-286 9-268","13:50:17"
"New Zealand v Australia","13:50:17"
"Markets (6)","13:50:17"
"New Zealand 1.90","13:50:17"
"New Zealand","13:50:17"
"1.90","13:50:17"
"Australia 1.90","13:50:17"
"Australia","13:50:17"
"1.90","13:50:17"
"Betting temporarily suspended - Markets are being updated","13:50:17"
"Upcoming17:05","13:50:17"
"M Minella v J Cepelova","13:50:17"
"Markets (30)","13:50:17"
"M Minella 2.49","13:50:17"
"M Minella","13:50:17"
"2.49","13:50:17"
"J Cepelova 1.49","13:50:17"
"J Cepelova","13:50:17"
