"Entry","Time"
"Apply stake to all singles","14:43:30"
"$","14:43:30"
"0-1 1-1 *40-40","14:43:30"
"M Minella v J Cepelova","14:43:30"
"Markets (24)","14:43:30"
"M Minella 8.00","14:43:30"
"M Minella","14:43:30"
"8.00","14:43:30"
"J Cepelova 1.04","14:43:30"
"J Cepelova","14:43:30"
"1.04","14:43:30"
"Betting temporarily suspended - Markets are being updated","14:43:30"
"0-0 2-1 *0-0","14:43:30"
"Y Lee v S Rogers","14:43:30"
"Markets (24)","14:43:30"
"Y Lee 3.30","14:43:30"
"Y Lee","14:43:30"
"3.30","14:43:30"
"S Rogers 1.26","14:43:30"
"S Rogers","14:43:30"
