"Entry","Time"
"Apply stake to all singles","13:52:16"
"$","13:52:16"
"-286 9-280","13:52:16"
"New Zealand v Australia","13:52:16"
"Markets (6)","13:52:16"
"New Zealand 4.10","13:52:16"
"New Zealand","13:52:16"
"4.10","13:52:16"
"Australia 1.24","13:52:16"
"Australia","13:52:16"
"1.24","13:52:16"
"Betting temporarily suspended - Markets are being updated","13:52:16"
"Upcoming17:05","13:52:16"
"M Minella v J Cepelova","13:52:16"
"Markets (30)","13:52:16"
"M Minella 2.49","13:52:16"
"M Minella","13:52:16"
"2.49","13:52:16"
"J Cepelova 1.49","13:52:16"
"J Cepelova","13:52:16"
