"Entry","Time"
"Apply stake to all singles","13:50:20"
"$","13:50:20"
"-286 9-268","13:50:20"
"New Zealand v Australia","13:50:20"
"Markets (6)","13:50:20"
"New Zealand 1.90","13:50:20"
"New Zealand","13:50:20"
"1.90","13:50:20"
"Australia 1.90","13:50:20"
"Australia","13:50:20"
"1.90","13:50:20"
"Betting temporarily suspended - Markets are being updated","13:50:20"
"Upcoming17:05","13:50:20"
"M Minella v J Cepelova","13:50:20"
"Markets (30)","13:50:20"
"M Minella 2.49","13:50:20"
"M Minella","13:50:20"
"2.49","13:50:20"
"J Cepelova 1.49","13:50:20"
"J Cepelova","13:50:20"
