"Entry","Time"
"Apply stake to all singles","14:30:39"
"$","14:30:39"
"0-0 1-5 15-15*","14:30:39"
"M Minella v J Cepelova","14:30:39"
"Markets (13)","14:30:39"
"M Minella 5.60","14:30:39"
"M Minella","14:30:39"
"5.60","14:30:39"
"J Cepelova 1.10","14:30:39"
"J Cepelova","14:30:39"
"1.10","14:30:39"
"Betting temporarily suspended - Markets are being updated","14:30:39"
"Y Lee v S Rogers","14:30:39"
"Markets (24)","14:30:39"
"Y Lee 6.75","14:30:39"
"Y Lee","14:30:39"
"6.75","14:30:39"
"S Rogers 1.06","14:30:39"
"S Rogers","14:30:39"
"1.06","14:30:39"
