"Entry","Time"
"Apply stake to all singles","13:50:01"
"$","13:50:01"
"-286 9-268","13:50:01"
"New Zealand v Australia","13:50:01"
"Markets (6)","13:50:01"
"New Zealand 1.90","13:50:01"
"New Zealand","13:50:01"
"1.90","13:50:01"
"Australia 1.90","13:50:01"
"Australia","13:50:01"
"1.90","13:50:01"
"Betting temporarily suspended - Markets are being updated","13:50:01"
"Upcoming17:05","13:50:01"
"M Minella v J Cepelova","13:50:01"
"Markets (30)","13:50:01"
"M Minella 2.49","13:50:01"
"M Minella","13:50:01"
"2.49","13:50:01"
"J Cepelova 1.49","13:50:01"
"J Cepelova","13:50:01"
