"Entry","Time"
"Apply stake to all singles","13:50:35"
"$","13:50:35"
"-286 9-268","13:50:35"
"New Zealand v Australia","13:50:35"
"Markets (6)","13:50:35"
"Betting temporarily suspended - Markets are being updated","13:50:35"
"Upcoming17:05","13:50:35"
"M Minella v J Cepelova","13:50:35"
"Markets (30)","13:50:35"
"M Minella 2.49","13:50:35"
"M Minella","13:50:35"
"2.49","13:50:35"
"J Cepelova 1.49","13:50:35"
"J Cepelova","13:50:35"
"1.49","13:50:35"
"Betting temporarily suspended - Markets are being updated","13:50:35"
"Upcoming17:05","13:50:35"
"Y Lee v S Rogers","13:50:35"
"Markets (29)","13:50:35"
"Y Lee 5.90","13:50:35"
