"","Entry","Time"
"1","Apply stake to all singles","17:06:41"
"2","$","17:06:41"
"3","2-127 -0","17:06:41"
"4","Hyderabad v Tamil Nadu","17:06:41"
"5","Markets (4)","17:06:41"
"6","Hyderabad 1.76","17:06:41"
"7","Hyderabad","17:06:41"
"8","1.76","17:06:41"
"9","Tamil Nadu 2.00","17:06:41"
"10","Tamil Nadu","17:06:41"
"11","2.00","17:06:41"
"12","Betting temporarily suspended - Markets are being updated","17:06:41"
"13","Upcoming20:12","17:06:41"
"14","K Siniakova v G Voskoboeva","17:06:41"
"15","Markets (29)","17:06:41"
"16","K Siniakova 1.13","17:06:41"
"17","K Siniakova","17:06:41"
"18","1.13","17:06:41"
"19","G Voskoboeva 5.40","17:06:41"
"20","G Voskoboeva","17:06:41"
