"Entry","Time"
"Apply stake to all singles","13:41:34"
"$","13:41:34"
"-286 9-263","13:41:34"
"New Zealand v Australia","13:41:34"
"Markets (7)","13:41:34"
"New Zealand 1.62","13:41:34"
"New Zealand","13:41:34"
"1.62","13:41:34"
"Australia 2.31","13:41:34"
"Australia","13:41:34"
"2.31","13:41:34"
"Betting temporarily suspended - Markets are being updated","13:41:34"
"Upcoming17:05","13:41:34"
"M Minella v J Cepelova","13:41:34"
"Markets (30)","13:41:34"
"M Minella 2.49","13:41:34"
"M Minella","13:41:34"
"2.49","13:41:34"
"J Cepelova 1.49","13:41:34"
"J Cepelova","13:41:34"
