"Entry","Time"
"Apply stake to all singles","13:50:09"
"$","13:50:09"
"-286 9-268","13:50:09"
"New Zealand v Australia","13:50:09"
"Markets (6)","13:50:09"
"New Zealand 1.90","13:50:09"
"New Zealand","13:50:09"
"1.90","13:50:09"
"Australia 1.90","13:50:09"
"Australia","13:50:09"
"1.90","13:50:09"
"Betting temporarily suspended - Markets are being updated","13:50:09"
"Upcoming17:05","13:50:09"
"M Minella v J Cepelova","13:50:09"
"Markets (30)","13:50:09"
"M Minella 2.49","13:50:09"
"M Minella","13:50:09"
"2.49","13:50:09"
"J Cepelova 1.49","13:50:09"
"J Cepelova","13:50:09"
