"Entry","Time"
"Apply stake to all singles","14:30:42"
"$","14:30:42"
"0-0 1-5 15-15*","14:30:42"
"M Minella v J Cepelova","14:30:42"
"Markets (13)","14:30:42"
"M Minella 5.60","14:30:42"
"M Minella","14:30:42"
"5.60","14:30:42"
"J Cepelova 1.10","14:30:42"
"J Cepelova","14:30:42"
"1.10","14:30:42"
"Betting temporarily suspended - Markets are being updated","14:30:42"
"Y Lee v S Rogers","14:30:42"
"Markets (24)","14:30:42"
"Y Lee 6.75","14:30:42"
"Y Lee","14:30:42"
"6.75","14:30:42"
"S Rogers 1.06","14:30:42"
"S Rogers","14:30:42"
"1.06","14:30:42"
