"Entry","Time"
"Apply stake to all singles","13:43:36"
"$","13:43:36"
"-286 9-267","13:43:36"
"New Zealand v Australia","13:43:36"
"Markets (6)","13:43:36"
"New Zealand 1.90","13:43:36"
"New Zealand","13:43:36"
"1.90","13:43:36"
"Australia 1.90","13:43:36"
"Australia","13:43:36"
"1.90","13:43:36"
"Betting temporarily suspended - Markets are being updated","13:43:36"
"Upcoming17:05","13:43:36"
"M Minella v J Cepelova","13:43:36"
"Markets (30)","13:43:36"
"M Minella 2.49","13:43:36"
"M Minella","13:43:36"
"2.49","13:43:36"
"J Cepelova 1.49","13:43:36"
"J Cepelova","13:43:36"
