"Entry","Time"
"Apply stake to all singles","13:52:41"
"$","13:52:41"
"-286 9-280","13:52:41"
"New Zealand v Australia","13:52:41"
"Markets (6)","13:52:41"
"New Zealand 4.10","13:52:41"
"New Zealand","13:52:41"
"4.10","13:52:41"
"Australia 1.24","13:52:41"
"Australia","13:52:41"
"1.24","13:52:41"
"Betting temporarily suspended - Markets are being updated","13:52:41"
"Upcoming17:05","13:52:41"
"M Minella v J Cepelova","13:52:41"
"Markets (30)","13:52:41"
"M Minella 2.49","13:52:41"
"M Minella","13:52:41"
"2.49","13:52:41"
"J Cepelova 1.49","13:52:41"
"J Cepelova","13:52:41"
