"Entry","Time"
"Apply stake to all singles","14:51:16"
"$","14:51:16"
"0-1 2-2 *0-0","14:51:16"
"M Minella v J Cepelova","14:51:16"
"Markets (24)","14:51:16"
"M Minella 5.60","14:51:16"
"M Minella","14:51:16"
"5.60","14:51:16"
"J Cepelova 1.10","14:51:16"
"J Cepelova","14:51:16"
"1.10","14:51:16"
"Betting temporarily suspended - Markets are being updated","14:51:16"
"0-0 2-3 *0-0","14:51:16"
"Y Lee v S Rogers","14:51:16"
"Markets (24)","14:51:16"
"Y Lee 7.00","14:51:16"
"Y Lee","14:51:16"
"7.00","14:51:16"
"S Rogers 1.05","14:51:16"
"S Rogers","14:51:16"
