"Entry","Time"
"Apply stake to all singles","13:41:35"
"$","13:41:35"
"-286 9-263","13:41:35"
"New Zealand v Australia","13:41:35"
"Markets (7)","13:41:35"
"New Zealand 1.62","13:41:35"
"New Zealand","13:41:35"
"1.62","13:41:35"
"Australia 2.31","13:41:35"
"Australia","13:41:35"
"2.31","13:41:35"
"Betting temporarily suspended - Markets are being updated","13:41:35"
"Upcoming17:05","13:41:35"
"M Minella v J Cepelova","13:41:35"
"Markets (30)","13:41:35"
"M Minella 2.49","13:41:35"
"M Minella","13:41:35"
"2.49","13:41:35"
"J Cepelova 1.49","13:41:35"
"J Cepelova","13:41:35"
