"curr_game_df"
"Miami Heat At Cleveland Cavaliers, 8:00 4th, 217.5"
"Milwaukee Bucks At Philadelphia 76ers, 5:46 4th, NA"
"New York Knicks At Orlando Magic, 10:17 4th, 226.5"
"Chicago Bulls At Detroit Pistons, 5:49 3rd, 208.5"
"Golden State Warriors At Atlanta Hawks, 9:39 3rd, 238.5"
"Brooklyn Nets At Memphis Grizzlies, 1:25 2nd, 225.5"
"Indiana Pacers At Charlotte Hornets, 3:09 2nd, 197.5"
"Houston Rockets At San Antonio Spurs, End 1st, 228.5"
"New Orleans Pelicans At Utah Jazz, 10:17 4th, NA"
"Sacramento Kings At Denver Nuggets, NA, NA"
"Santa Clara At Gonzaga, 1st 20:00, 136.0"
