"Entry","Time"
"Apply stake to all singles","13:50:06"
"$","13:50:06"
"-286 9-268","13:50:06"
"New Zealand v Australia","13:50:06"
"Markets (6)","13:50:06"
"New Zealand 1.90","13:50:06"
"New Zealand","13:50:06"
"1.90","13:50:06"
"Australia 1.90","13:50:06"
"Australia","13:50:06"
"1.90","13:50:06"
"Betting temporarily suspended - Markets are being updated","13:50:06"
"Upcoming17:05","13:50:06"
"M Minella v J Cepelova","13:50:06"
"Markets (30)","13:50:06"
"M Minella 2.49","13:50:06"
"M Minella","13:50:06"
"2.49","13:50:06"
"J Cepelova 1.49","13:50:06"
"J Cepelova","13:50:06"
