"Entry","Time"
"Apply stake to all singles","13:41:33"
"$","13:41:33"
"-286 9-263","13:41:33"
"New Zealand v Australia","13:41:33"
"Markets (7)","13:41:33"
"New Zealand 1.62","13:41:33"
"New Zealand","13:41:33"
"1.62","13:41:33"
"Australia 2.31","13:41:33"
"Australia","13:41:33"
"2.31","13:41:33"
"Betting temporarily suspended - Markets are being updated","13:41:33"
"Upcoming17:05","13:41:33"
"M Minella v J Cepelova","13:41:33"
"Markets (30)","13:41:33"
"M Minella 2.49","13:41:33"
"M Minella","13:41:33"
"2.49","13:41:33"
"J Cepelova 1.49","13:41:33"
"J Cepelova","13:41:33"
