"Entry","Time"
"Apply stake to all singles","13:52:10"
"$","13:52:10"
"-286 9-280","13:52:10"
"New Zealand v Australia","13:52:10"
"Markets (6)","13:52:10"
"New Zealand 4.10","13:52:10"
"New Zealand","13:52:10"
"4.10","13:52:10"
"Australia 1.24","13:52:10"
"Australia","13:52:10"
"1.24","13:52:10"
"Betting temporarily suspended - Markets are being updated","13:52:10"
"Upcoming17:05","13:52:10"
"M Minella v J Cepelova","13:52:10"
"Markets (30)","13:52:10"
"M Minella 2.49","13:52:10"
"M Minella","13:52:10"
"2.49","13:52:10"
"J Cepelova 1.49","13:52:10"
"J Cepelova","13:52:10"
