"Entry","Time"
"Apply stake to all singles","13:50:54"
"$","13:50:54"
"-286 9-268","13:50:54"
"New Zealand v Australia","13:50:54"
"Markets (6)","13:50:54"
"Betting temporarily suspended - Markets are being updated","13:50:54"
"Upcoming17:05","13:50:54"
"M Minella v J Cepelova","13:50:54"
"Markets (30)","13:50:54"
"M Minella 2.49","13:50:54"
"M Minella","13:50:54"
"2.49","13:50:54"
"J Cepelova 1.49","13:50:54"
"J Cepelova","13:50:54"
"1.49","13:50:54"
"Betting temporarily suspended - Markets are being updated","13:50:54"
"Upcoming17:05","13:50:54"
"Y Lee v S Rogers","13:50:54"
"Markets (29)","13:50:54"
"Y Lee 5.90","13:50:54"
