"Entry","Time"
"Apply stake to all singles","13:52:11"
"$","13:52:11"
"-286 9-280","13:52:11"
"New Zealand v Australia","13:52:11"
"Markets (6)","13:52:11"
"New Zealand 4.10","13:52:11"
"New Zealand","13:52:11"
"4.10","13:52:11"
"Australia 1.24","13:52:11"
"Australia","13:52:11"
"1.24","13:52:11"
"Betting temporarily suspended - Markets are being updated","13:52:11"
"Upcoming17:05","13:52:11"
"M Minella v J Cepelova","13:52:11"
"Markets (30)","13:52:11"
"M Minella 2.49","13:52:11"
"M Minella","13:52:11"
"2.49","13:52:11"
"J Cepelova 1.49","13:52:11"
"J Cepelova","13:52:11"
