"Entry","Time"
"Apply stake to all singles","13:52:38"
"$","13:52:38"
"-286 9-280","13:52:38"
"New Zealand v Australia","13:52:38"
"Markets (6)","13:52:38"
"New Zealand 4.10","13:52:38"
"New Zealand","13:52:38"
"4.10","13:52:38"
"Australia 1.24","13:52:38"
"Australia","13:52:38"
"1.24","13:52:38"
"Betting temporarily suspended - Markets are being updated","13:52:38"
"Upcoming17:05","13:52:38"
"M Minella v J Cepelova","13:52:38"
"Markets (30)","13:52:38"
"M Minella 2.49","13:52:38"
"M Minella","13:52:38"
"2.49","13:52:38"
"J Cepelova 1.49","13:52:38"
"J Cepelova","13:52:38"
