"Entry","Time"
"Apply stake to all singles","13:50:22"
"$","13:50:22"
"-286 9-268","13:50:22"
"New Zealand v Australia","13:50:22"
"Markets (6)","13:50:22"
"New Zealand 1.90","13:50:22"
"New Zealand","13:50:22"
"1.90","13:50:22"
"Australia 1.90","13:50:22"
"Australia","13:50:22"
"1.90","13:50:22"
"Betting temporarily suspended - Markets are being updated","13:50:22"
"Upcoming17:05","13:50:22"
"M Minella v J Cepelova","13:50:22"
"Markets (30)","13:50:22"
"M Minella 2.49","13:50:22"
"M Minella","13:50:22"
"2.49","13:50:22"
"J Cepelova 1.49","13:50:22"
"J Cepelova","13:50:22"
