"Entry","Time"
"Apply stake to all singles","13:50:18"
"$","13:50:18"
"-286 9-268","13:50:18"
"New Zealand v Australia","13:50:18"
"Markets (6)","13:50:18"
"New Zealand 1.90","13:50:18"
"New Zealand","13:50:18"
"1.90","13:50:18"
"Australia 1.90","13:50:18"
"Australia","13:50:18"
"1.90","13:50:18"
"Betting temporarily suspended - Markets are being updated","13:50:18"
"Upcoming17:05","13:50:18"
"M Minella v J Cepelova","13:50:18"
"Markets (30)","13:50:18"
"M Minella 2.49","13:50:18"
"M Minella","13:50:18"
"2.49","13:50:18"
"J Cepelova 1.49","13:50:18"
"J Cepelova","13:50:18"
