"Entry","Time"
"Apply stake to all singles","13:41:37"
"$","13:41:37"
"-286 9-263","13:41:37"
"New Zealand v Australia","13:41:37"
"Markets (7)","13:41:37"
"New Zealand 1.62","13:41:37"
"New Zealand","13:41:37"
"1.62","13:41:37"
"Australia 2.31","13:41:37"
"Australia","13:41:37"
"2.31","13:41:37"
"Betting temporarily suspended - Markets are being updated","13:41:37"
"Upcoming17:05","13:41:37"
"M Minella v J Cepelova","13:41:37"
"Markets (30)","13:41:37"
"M Minella 2.49","13:41:37"
"M Minella","13:41:37"
"2.49","13:41:37"
"J Cepelova 1.49","13:41:37"
"J Cepelova","13:41:37"
