"Entry","Time"
"Apply stake to all singles","13:50:16"
"$","13:50:16"
"-286 9-268","13:50:16"
"New Zealand v Australia","13:50:16"
"Markets (6)","13:50:16"
"New Zealand 1.90","13:50:16"
"New Zealand","13:50:16"
"1.90","13:50:16"
"Australia 1.90","13:50:16"
"Australia","13:50:16"
"1.90","13:50:16"
"Betting temporarily suspended - Markets are being updated","13:50:16"
"Upcoming17:05","13:50:16"
"M Minella v J Cepelova","13:50:16"
"Markets (30)","13:50:16"
"M Minella 2.49","13:50:16"
"M Minella","13:50:16"
"2.49","13:50:16"
"J Cepelova 1.49","13:50:16"
"J Cepelova","13:50:16"
