"Entry","Time"
"Apply stake to all singles","13:52:30"
"$","13:52:30"
"-286 9-280","13:52:30"
"New Zealand v Australia","13:52:30"
"Markets (6)","13:52:30"
"New Zealand 4.10","13:52:30"
"New Zealand","13:52:30"
"4.10","13:52:30"
"Australia 1.24","13:52:30"
"Australia","13:52:30"
"1.24","13:52:30"
"Betting temporarily suspended - Markets are being updated","13:52:30"
"Upcoming17:05","13:52:30"
"M Minella v J Cepelova","13:52:30"
"Markets (30)","13:52:30"
"M Minella 2.49","13:52:30"
"M Minella","13:52:30"
"2.49","13:52:30"
"J Cepelova 1.49","13:52:30"
"J Cepelova","13:52:30"
