"","Entry","Time"
"1","Apply stake to all singles","17:07:18"
"2","$","17:07:18"
"3","2-131 -0","17:07:18"
"4","Hyderabad v Tamil Nadu","17:07:18"
"5","Markets (4)","17:07:18"
"6","Hyderabad 1.76","17:07:18"
"7","Hyderabad","17:07:18"
"8","1.76","17:07:18"
"9","Tamil Nadu 2.00","17:07:18"
"10","Tamil Nadu","17:07:18"
"11","2.00","17:07:18"
"12","Betting temporarily suspended - Markets are being updated","17:07:18"
"13","Upcoming20:12","17:07:18"
"14","K Siniakova v G Voskoboeva","17:07:18"
"15","Markets (29)","17:07:18"
"16","K Siniakova 1.13","17:07:18"
"17","K Siniakova","17:07:18"
"18","1.13","17:07:18"
"19","G Voskoboeva 5.40","17:07:18"
"20","G Voskoboeva","17:07:18"
