"Entry","Time"
"Apply stake to all singles","13:52:32"
"$","13:52:32"
"-286 9-280","13:52:32"
"New Zealand v Australia","13:52:32"
"Markets (6)","13:52:32"
"New Zealand 4.10","13:52:32"
"New Zealand","13:52:32"
"4.10","13:52:32"
"Australia 1.24","13:52:32"
"Australia","13:52:32"
"1.24","13:52:32"
"Betting temporarily suspended - Markets are being updated","13:52:32"
"Upcoming17:05","13:52:32"
"M Minella v J Cepelova","13:52:32"
"Markets (30)","13:52:32"
"M Minella 2.49","13:52:32"
"M Minella","13:52:32"
"2.49","13:52:32"
"J Cepelova 1.49","13:52:32"
"J Cepelova","13:52:32"
