"Entry","Time"
"Apply stake to all singles","14:30:40"
"$","14:30:40"
"0-0 1-5 15-15*","14:30:40"
"M Minella v J Cepelova","14:30:40"
"Markets (13)","14:30:40"
"M Minella 5.60","14:30:40"
"M Minella","14:30:40"
"5.60","14:30:40"
"J Cepelova 1.10","14:30:40"
"J Cepelova","14:30:40"
"1.10","14:30:40"
"Betting temporarily suspended - Markets are being updated","14:30:40"
"Y Lee v S Rogers","14:30:40"
"Markets (24)","14:30:40"
"Y Lee 6.75","14:30:40"
"Y Lee","14:30:40"
"6.75","14:30:40"
"S Rogers 1.06","14:30:40"
"S Rogers","14:30:40"
"1.06","14:30:40"
