"Entry","Time"
"Apply stake to all singles","13:37:56"
"$","13:37:56"
"-286 9-260","13:37:56"
"New Zealand v Australia","13:37:56"
"Markets (8)","13:37:56"
"New Zealand 1.57","13:37:56"
"New Zealand","13:37:56"
"1.57","13:37:56"
"Australia 2.41","13:37:56"
"Australia","13:37:56"
"2.41","13:37:56"
"Betting temporarily suspended - Markets are being updated","13:37:56"
"Upcoming17:05","13:37:56"
"M Minella v J Cepelova","13:37:56"
"Markets (30)","13:37:56"
"M Minella 2.49","13:37:56"
"M Minella","13:37:56"
"2.49","13:37:56"
"J Cepelova 1.49","13:37:56"
"J Cepelova","13:37:56"
