"Entry","Time"
"Apply stake to all singles","13:52:33"
"$","13:52:33"
"-286 9-280","13:52:33"
"New Zealand v Australia","13:52:33"
"Markets (6)","13:52:33"
"New Zealand 4.10","13:52:33"
"New Zealand","13:52:33"
"4.10","13:52:33"
"Australia 1.24","13:52:33"
"Australia","13:52:33"
"1.24","13:52:33"
"Betting temporarily suspended - Markets are being updated","13:52:33"
"Upcoming17:05","13:52:33"
"M Minella v J Cepelova","13:52:33"
"Markets (30)","13:52:33"
"M Minella 2.49","13:52:33"
"M Minella","13:52:33"
"2.49","13:52:33"
"J Cepelova 1.49","13:52:33"
"J Cepelova","13:52:33"
