"Entry","Time"
"Apply stake to all singles","13:50:26"
"$","13:50:26"
"-286 9-268","13:50:26"
"New Zealand v Australia","13:50:26"
"Markets (6)","13:50:26"
"Betting temporarily suspended - Markets are being updated","13:50:26"
"Upcoming17:05","13:50:26"
"M Minella v J Cepelova","13:50:26"
"Markets (30)","13:50:26"
"M Minella 2.49","13:50:26"
"M Minella","13:50:26"
"2.49","13:50:26"
"J Cepelova 1.49","13:50:26"
"J Cepelova","13:50:26"
"1.49","13:50:26"
"Betting temporarily suspended - Markets are being updated","13:50:26"
"Upcoming17:05","13:50:26"
"Y Lee v S Rogers","13:50:26"
"Markets (29)","13:50:26"
"Y Lee 5.90","13:50:26"
