"Entry","Time"
"Apply stake to all singles","13:52:09"
"$","13:52:09"
"-286 9-280","13:52:09"
"New Zealand v Australia","13:52:09"
"Markets (6)","13:52:09"
"New Zealand 4.10","13:52:09"
"New Zealand","13:52:09"
"4.10","13:52:09"
"Australia 1.24","13:52:09"
"Australia","13:52:09"
"1.24","13:52:09"
"Betting temporarily suspended - Markets are being updated","13:52:09"
"Upcoming17:05","13:52:09"
"M Minella v J Cepelova","13:52:09"
"Markets (30)","13:52:09"
"M Minella 2.49","13:52:09"
"M Minella","13:52:09"
"2.49","13:52:09"
"J Cepelova 1.49","13:52:09"
"J Cepelova","13:52:09"
