"Entry","Time"
"Apply stake to all singles","13:50:12"
"$","13:50:12"
"-286 9-268","13:50:12"
"New Zealand v Australia","13:50:12"
"Markets (6)","13:50:12"
"New Zealand 1.90","13:50:12"
"New Zealand","13:50:12"
"1.90","13:50:12"
"Australia 1.90","13:50:12"
"Australia","13:50:12"
"1.90","13:50:12"
"Betting temporarily suspended - Markets are being updated","13:50:12"
"Upcoming17:05","13:50:12"
"M Minella v J Cepelova","13:50:12"
"Markets (30)","13:50:12"
"M Minella 2.49","13:50:12"
"M Minella","13:50:12"
"2.49","13:50:12"
"J Cepelova 1.49","13:50:12"
"J Cepelova","13:50:12"
