"Entry","Time"
"Apply stake to all singles","13:52:27"
"$","13:52:27"
"-286 9-280","13:52:27"
"New Zealand v Australia","13:52:27"
"Markets (6)","13:52:27"
"New Zealand 4.10","13:52:27"
"New Zealand","13:52:27"
"4.10","13:52:27"
"Australia 1.24","13:52:27"
"Australia","13:52:27"
"1.24","13:52:27"
"Betting temporarily suspended - Markets are being updated","13:52:27"
"Upcoming17:05","13:52:27"
"M Minella v J Cepelova","13:52:27"
"Markets (30)","13:52:27"
"M Minella 2.49","13:52:27"
"M Minella","13:52:27"
"2.49","13:52:27"
"J Cepelova 1.49","13:52:27"
"J Cepelova","13:52:27"
