"Entry","Time"
"Apply stake to all singles","14:44:12"
"$","14:44:12"
"0-1 1-1 *40-A","14:44:12"
"M Minella v J Cepelova","14:44:12"
"Markets (24)","14:44:12"
"M Minella 10.00","14:44:12"
"M Minella","14:44:12"
"10.00","14:44:12"
"J Cepelova 1.01","14:44:12"
"J Cepelova","14:44:12"
"1.01","14:44:12"
"Betting temporarily suspended - Markets are being updated","14:44:12"
"0-0 2-1 *30-15","14:44:12"
"Y Lee v S Rogers","14:44:12"
"Markets (24)","14:44:12"
"Y Lee 3.30","14:44:12"
"Y Lee","14:44:12"
"3.30","14:44:12"
"S Rogers 1.26","14:44:12"
"S Rogers","14:44:12"
