"Entry","Time"
"Apply stake to all singles","13:50:31"
"$","13:50:31"
"-286 9-268","13:50:31"
"New Zealand v Australia","13:50:31"
"Markets (6)","13:50:31"
"Betting temporarily suspended - Markets are being updated","13:50:31"
"Upcoming17:05","13:50:31"
"M Minella v J Cepelova","13:50:31"
"Markets (30)","13:50:31"
"M Minella 2.49","13:50:31"
"M Minella","13:50:31"
"2.49","13:50:31"
"J Cepelova 1.49","13:50:31"
"J Cepelova","13:50:31"
"1.49","13:50:31"
"Betting temporarily suspended - Markets are being updated","13:50:31"
"Upcoming17:05","13:50:31"
"Y Lee v S Rogers","13:50:31"
"Markets (29)","13:50:31"
"Y Lee 5.90","13:50:31"
