"Entry","Time"
"Apply stake to all singles","14:32:39"
"$","14:32:39"
"0-1 0-0 *0-0","14:32:39"
"M Minella v J Cepelova","14:32:39"
"Markets (24)","14:32:39"
"M Minella 5.60","14:32:39"
"M Minella","14:32:39"
"5.60","14:32:39"
"J Cepelova 1.09","14:32:39"
"J Cepelova","14:32:39"
"1.09","14:32:39"
"Betting temporarily suspended - Markets are being updated","14:32:39"
"0-0 0-1 *30-15","14:32:39"
"Y Lee v S Rogers","14:32:39"
"Markets (24)","14:32:39"
"Y Lee 6.00","14:32:39"
"Y Lee","14:32:39"
"6.00","14:32:39"
"S Rogers 1.08","14:32:39"
"S Rogers","14:32:39"
