"Entry","Time"
"Apply stake to all singles","13:50:05"
"$","13:50:05"
"-286 9-268","13:50:05"
"New Zealand v Australia","13:50:05"
"Markets (6)","13:50:05"
"New Zealand 1.90","13:50:05"
"New Zealand","13:50:05"
"1.90","13:50:05"
"Australia 1.90","13:50:05"
"Australia","13:50:05"
"1.90","13:50:05"
"Betting temporarily suspended - Markets are being updated","13:50:05"
"Upcoming17:05","13:50:05"
"M Minella v J Cepelova","13:50:05"
"Markets (30)","13:50:05"
"M Minella 2.49","13:50:05"
"M Minella","13:50:05"
"2.49","13:50:05"
"J Cepelova 1.49","13:50:05"
"J Cepelova","13:50:05"
