"Entry","Time"
"Apply stake to all singles","13:50:50"
"$","13:50:50"
"-286 9-268","13:50:50"
"New Zealand v Australia","13:50:50"
"Markets (6)","13:50:50"
"Betting temporarily suspended - Markets are being updated","13:50:50"
"Upcoming17:05","13:50:50"
"M Minella v J Cepelova","13:50:50"
"Markets (30)","13:50:50"
"M Minella 2.49","13:50:50"
"M Minella","13:50:50"
"2.49","13:50:50"
"J Cepelova 1.49","13:50:50"
"J Cepelova","13:50:50"
"1.49","13:50:50"
"Betting temporarily suspended - Markets are being updated","13:50:50"
"Upcoming17:05","13:50:50"
"Y Lee v S Rogers","13:50:50"
"Markets (29)","13:50:50"
"Y Lee 5.90","13:50:50"
