"Entry","Time"
"Apply stake to all singles","14:32:57"
"$","14:32:57"
"0-1 0-0 *0-0","14:32:57"
"M Minella v J Cepelova","14:32:57"
"Markets (24)","14:32:57"
"M Minella 6.75","14:32:57"
"M Minella","14:32:57"
"6.75","14:32:57"
"J Cepelova 1.06","14:32:57"
"J Cepelova","14:32:57"
"1.06","14:32:57"
"Betting temporarily suspended - Markets are being updated","14:32:57"
"0-0 0-1 *30-15","14:32:57"
"Y Lee v S Rogers","14:32:57"
"Markets (24)","14:32:57"
"Y Lee 5.80","14:32:57"
"Y Lee","14:32:57"
"5.80","14:32:57"
"S Rogers 1.09","14:32:57"
"S Rogers","14:32:57"
