"","Entry","Time"
"1","Apply stake to all singles","13:36:31"
"2","$","13:36:31"
"3","-286 9-254","13:36:31"
"4","New Zealand v Australia","13:36:31"
"5","Markets (8)","13:36:31"
"6","Betting temporarily suspended - Markets are being updated","13:36:31"
"7","Upcoming17:05","13:36:31"
"8","M Minella v J Cepelova","13:36:31"
"9","Markets (30)","13:36:31"
"10","M Minella 2.49","13:36:31"
"11","M Minella","13:36:31"
"12","2.49","13:36:31"
"13","J Cepelova 1.49","13:36:31"
"14","J Cepelova","13:36:31"
"15","1.49","13:36:31"
"16","Betting temporarily suspended - Markets are being updated","13:36:31"
"17","Upcoming17:05","13:36:31"
"18","Y Lee v S Rogers","13:36:31"
"19","Markets (29)","13:36:31"
"20","Y Lee 5.90","13:36:31"
