"Entry","Time"
"Apply stake to all singles","13:50:07"
"$","13:50:07"
"-286 9-268","13:50:07"
"New Zealand v Australia","13:50:07"
"Markets (6)","13:50:07"
"New Zealand 1.90","13:50:07"
"New Zealand","13:50:07"
"1.90","13:50:07"
"Australia 1.90","13:50:07"
"Australia","13:50:07"
"1.90","13:50:07"
"Betting temporarily suspended - Markets are being updated","13:50:07"
"Upcoming17:05","13:50:07"
"M Minella v J Cepelova","13:50:07"
"Markets (30)","13:50:07"
"M Minella 2.49","13:50:07"
"M Minella","13:50:07"
"2.49","13:50:07"
"J Cepelova 1.49","13:50:07"
"J Cepelova","13:50:07"
