"Entry","Time"
"Apply stake to all singles","13:50:02"
"$","13:50:02"
"-286 9-268","13:50:02"
"New Zealand v Australia","13:50:02"
"Markets (6)","13:50:02"
"New Zealand 1.90","13:50:02"
"New Zealand","13:50:02"
"1.90","13:50:02"
"Australia 1.90","13:50:02"
"Australia","13:50:02"
"1.90","13:50:02"
"Betting temporarily suspended - Markets are being updated","13:50:02"
"Upcoming17:05","13:50:02"
"M Minella v J Cepelova","13:50:02"
"Markets (30)","13:50:02"
"M Minella 2.49","13:50:02"
"M Minella","13:50:02"
"2.49","13:50:02"
"J Cepelova 1.49","13:50:02"
"J Cepelova","13:50:02"
