"Entry","Time"
"Apply stake to all singles","13:52:21"
"$","13:52:21"
"-286 9-280","13:52:21"
"New Zealand v Australia","13:52:21"
"Markets (6)","13:52:21"
"New Zealand 4.10","13:52:21"
"New Zealand","13:52:21"
"4.10","13:52:21"
"Australia 1.24","13:52:21"
"Australia","13:52:21"
"1.24","13:52:21"
"Betting temporarily suspended - Markets are being updated","13:52:21"
"Upcoming17:05","13:52:21"
"M Minella v J Cepelova","13:52:21"
"Markets (30)","13:52:21"
"M Minella 2.49","13:52:21"
"M Minella","13:52:21"
"2.49","13:52:21"
"J Cepelova 1.49","13:52:21"
"J Cepelova","13:52:21"
