"Entry","Time"
"Apply stake to all singles","13:52:05"
"$","13:52:05"
"-286 9-280","13:52:05"
"New Zealand v Australia","13:52:05"
"Markets (6)","13:52:05"
"New Zealand 4.10","13:52:05"
"New Zealand","13:52:05"
"4.10","13:52:05"
"Australia 1.24","13:52:05"
"Australia","13:52:05"
"1.24","13:52:05"
"Betting temporarily suspended - Markets are being updated","13:52:05"
"Upcoming17:05","13:52:05"
"M Minella v J Cepelova","13:52:05"
"Markets (30)","13:52:05"
"M Minella 2.49","13:52:05"
"M Minella","13:52:05"
"2.49","13:52:05"
"J Cepelova 1.49","13:52:05"
"J Cepelova","13:52:05"
