"","Entry","Time"
"1"," ","09:10:47 AM"
"2"," ","09:10:47 AM"
"3"," ","09:10:47 AM"
"4"," ","09:10:47 AM"
"5"," ","09:10:47 AM"
"6","Apply stake to all singles","09:10:47 AM"
"7","$","09:10:47 AM"
"8","2-136 -0","09:10:47 AM"
"9","Hyderabad v Tamil Nadu","09:10:47 AM"
"10"," Markets (4)","09:10:47 AM"
"11"," Betting temporarily suspended - Markets are being updated","09:10:47 AM"
"12","Upcoming20:12","09:10:47 AM"
"13","K Siniakova v G Voskoboeva","09:10:47 AM"
"14"," Markets (29)","09:10:47 AM"
"15","K Siniakova 1.13","09:10:47 AM"
"16","K Siniakova","09:10:47 AM"
"17","1.13","09:10:47 AM"
"18","G Voskoboeva 5.40","09:10:47 AM"
"19","G Voskoboeva","09:10:47 AM"
"20","5.40","09:10:47 AM"
