"Entry","Time"
"Apply stake to all singles","14:50:56"
"$","14:50:56"
"0-1 1-2 40-40*","14:50:56"
"M Minella v J Cepelova","14:50:56"
"Markets (24)","14:50:56"
"M Minella 6.00","14:50:56"
"M Minella","14:50:56"
"6.00","14:50:56"
"J Cepelova 1.08","14:50:56"
"J Cepelova","14:50:56"
"1.08","14:50:56"
"Betting temporarily suspended - Markets are being updated","14:50:56"
"0-0 2-2 0-30*","14:50:56"
"Y Lee v S Rogers","14:50:56"
"Markets (24)","14:50:56"
"Y Lee 7.00","14:50:56"
"Y Lee","14:50:56"
"7.00","14:50:56"
"S Rogers 1.05","14:50:56"
"S Rogers","14:50:56"
