"Entry","Time"
"Apply stake to all singles","13:39:30"
"$","13:39:30"
"-286 9-260","13:39:30"
"New Zealand v Australia","13:39:30"
"Markets (7)","13:39:30"
"New Zealand 1.57","13:39:30"
"New Zealand","13:39:30"
"1.57","13:39:30"
"Australia 2.41","13:39:30"
"Australia","13:39:30"
"2.41","13:39:30"
"Betting temporarily suspended - Markets are being updated","13:39:30"
"Upcoming17:05","13:39:30"
"M Minella v J Cepelova","13:39:30"
"Markets (30)","13:39:30"
"M Minella 2.49","13:39:30"
"M Minella","13:39:30"
"2.49","13:39:30"
"J Cepelova 1.49","13:39:30"
"J Cepelova","13:39:30"
