"Entry","Time"
"Apply stake to all singles","13:52:37"
"$","13:52:37"
"-286 9-280","13:52:37"
"New Zealand v Australia","13:52:37"
"Markets (6)","13:52:37"
"New Zealand 4.10","13:52:37"
"New Zealand","13:52:37"
"4.10","13:52:37"
"Australia 1.24","13:52:37"
"Australia","13:52:37"
"1.24","13:52:37"
"Betting temporarily suspended - Markets are being updated","13:52:37"
"Upcoming17:05","13:52:37"
"M Minella v J Cepelova","13:52:37"
"Markets (30)","13:52:37"
"M Minella 2.49","13:52:37"
"M Minella","13:52:37"
"2.49","13:52:37"
"J Cepelova 1.49","13:52:37"
"J Cepelova","13:52:37"
