"Entry","Time"
"Apply stake to all singles","13:50:10"
"$","13:50:10"
"-286 9-268","13:50:10"
"New Zealand v Australia","13:50:10"
"Markets (6)","13:50:10"
"New Zealand 1.90","13:50:10"
"New Zealand","13:50:10"
"1.90","13:50:10"
"Australia 1.90","13:50:10"
"Australia","13:50:10"
"1.90","13:50:10"
"Betting temporarily suspended - Markets are being updated","13:50:10"
"Upcoming17:05","13:50:10"
"M Minella v J Cepelova","13:50:10"
"Markets (30)","13:50:10"
"M Minella 2.49","13:50:10"
"M Minella","13:50:10"
"2.49","13:50:10"
"J Cepelova 1.49","13:50:10"
"J Cepelova","13:50:10"
