"Entry","Time"
"Apply stake to all singles","13:50:30"
"$","13:50:30"
"-286 9-268","13:50:30"
"New Zealand v Australia","13:50:30"
"Markets (6)","13:50:30"
"Betting temporarily suspended - Markets are being updated","13:50:30"
"Upcoming17:05","13:50:30"
"M Minella v J Cepelova","13:50:30"
"Markets (30)","13:50:30"
"M Minella 2.49","13:50:30"
"M Minella","13:50:30"
"2.49","13:50:30"
"J Cepelova 1.49","13:50:30"
"J Cepelova","13:50:30"
"1.49","13:50:30"
"Betting temporarily suspended - Markets are being updated","13:50:30"
"Upcoming17:05","13:50:30"
"Y Lee v S Rogers","13:50:30"
"Markets (29)","13:50:30"
"Y Lee 5.90","13:50:30"
