"Entry","Time"
"Apply stake to all singles","13:52:45"
"$","13:52:45"
"-286 9-280","13:52:45"
"New Zealand v Australia","13:52:45"
"Markets (6)","13:52:45"
"Betting temporarily suspended - Markets are being updated","13:52:45"
"Upcoming17:05","13:52:45"
"M Minella v J Cepelova","13:52:45"
"Markets (30)","13:52:45"
"M Minella 2.49","13:52:45"
"M Minella","13:52:45"
"2.49","13:52:45"
"J Cepelova 1.49","13:52:45"
"J Cepelova","13:52:45"
"1.49","13:52:45"
"Betting temporarily suspended - Markets are being updated","13:52:45"
"Upcoming17:05","13:52:45"
"Y Lee v S Rogers","13:52:45"
"Markets (29)","13:52:45"
"Y Lee 5.90","13:52:45"
