"Entry","Time"
"Apply stake to all singles","13:52:54"
"$","13:52:54"
"-286 9-280","13:52:54"
"New Zealand v Australia","13:52:54"
"Markets (6)","13:52:54"
"Betting temporarily suspended - Markets are being updated","13:52:54"
"Upcoming17:05","13:52:54"
"M Minella v J Cepelova","13:52:54"
"Markets (30)","13:52:54"
"M Minella 2.49","13:52:54"
"M Minella","13:52:54"
"2.49","13:52:54"
"J Cepelova 1.49","13:52:54"
"J Cepelova","13:52:54"
"1.49","13:52:54"
"Betting temporarily suspended - Markets are being updated","13:52:54"
"Upcoming17:05","13:52:54"
"Y Lee v S Rogers","13:52:54"
"Markets (29)","13:52:54"
"Y Lee 5.90","13:52:54"
