"Entry","Time"
"Apply stake to all singles","13:50:46"
"$","13:50:46"
"-286 9-268","13:50:46"
"New Zealand v Australia","13:50:46"
"Markets (6)","13:50:46"
"Betting temporarily suspended - Markets are being updated","13:50:46"
"Upcoming17:05","13:50:46"
"M Minella v J Cepelova","13:50:46"
"Markets (30)","13:50:46"
"M Minella 2.49","13:50:46"
"M Minella","13:50:46"
"2.49","13:50:46"
"J Cepelova 1.49","13:50:46"
"J Cepelova","13:50:46"
"1.49","13:50:46"
"Betting temporarily suspended - Markets are being updated","13:50:46"
"Upcoming17:05","13:50:46"
"Y Lee v S Rogers","13:50:46"
"Markets (29)","13:50:46"
"Y Lee 5.90","13:50:46"
