"Entry","Time"
"Apply stake to all singles","13:52:35"
"$","13:52:35"
"-286 9-280","13:52:35"
"New Zealand v Australia","13:52:35"
"Markets (6)","13:52:35"
"New Zealand 4.10","13:52:35"
"New Zealand","13:52:35"
"4.10","13:52:35"
"Australia 1.24","13:52:35"
"Australia","13:52:35"
"1.24","13:52:35"
"Betting temporarily suspended - Markets are being updated","13:52:35"
"Upcoming17:05","13:52:35"
"M Minella v J Cepelova","13:52:35"
"Markets (30)","13:52:35"
"M Minella 2.49","13:52:35"
"M Minella","13:52:35"
"2.49","13:52:35"
"J Cepelova 1.49","13:52:35"
"J Cepelova","13:52:35"
