"Entry","Time"
"Apply stake to all singles","14:30:45"
"$","14:30:45"
"0-0 1-5 15-15*","14:30:45"
"M Minella v J Cepelova","14:30:45"
"Markets (13)","14:30:45"
"M Minella 5.60","14:30:45"
"M Minella","14:30:45"
"5.60","14:30:45"
"J Cepelova 1.10","14:30:45"
"J Cepelova","14:30:45"
"1.10","14:30:45"
"Betting temporarily suspended - Markets are being updated","14:30:45"
"Y Lee v S Rogers","14:30:45"
"Markets (24)","14:30:45"
"Y Lee 6.75","14:30:45"
"Y Lee","14:30:45"
"6.75","14:30:45"
"S Rogers 1.06","14:30:45"
"S Rogers","14:30:45"
"1.06","14:30:45"
