"Entry","Time"
"Apply stake to all singles","13:43:39"
"$","13:43:39"
"-286 9-267","13:43:39"
"New Zealand v Australia","13:43:39"
"Markets (6)","13:43:39"
"New Zealand 1.90","13:43:39"
"New Zealand","13:43:39"
"1.90","13:43:39"
"Australia 1.90","13:43:39"
"Australia","13:43:39"
"1.90","13:43:39"
"Betting temporarily suspended - Markets are being updated","13:43:39"
"Upcoming17:05","13:43:39"
"M Minella v J Cepelova","13:43:39"
"Markets (30)","13:43:39"
"M Minella 2.49","13:43:39"
"M Minella","13:43:39"
"2.49","13:43:39"
"J Cepelova 1.49","13:43:39"
"J Cepelova","13:43:39"
